,JKT,BDG,SBY,MDN,MKS,MDO,JYP,PTK,SMD,AMB,KPG,PLB,PDG,BJM,BPN,DPS,MTR,TRN,PLU,GTO,YGY,SMG,PKU,JBI,KDI,MNK,SRG,TRK,BTG,LHS,ACE,SRG,CRB,MGL,BKL,TUL,WGP,TJP,SKW,BAU,PGK,GNS,SBG,END,TBT,PLO,PMK,LBJ,SBL
ACE,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,38.0,0.0,492.0,0.0,0.0,0.0,571.0
SRG,77.0,185.0,740.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,381.0,858.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,481.0,903.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,473.0,502.0,0.0,0.0,805.0,843.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,817.0,0.0,0.0
CRB,197.0,106.0,467.0,0.0,0.0,0.0,0.0,754.0,0.0,0.0,0.0,590.0,0.0,767.0,0.0,765.0,859.0,0.0,0.0,0.0,234.0,207.0,0.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,202.0,768.0,0.0,0.0,962.0,848.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,0.0
MGL,398.0,293.0,280.0,0.0,0.0,0.0,0.0,839.0,0.0,0.0,0.0,783.0,0.0,669.0,0.0,566.0,661.0,0.0,0.0,0.0,40.0,60.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,202.0,0.0,970.0,0.0,0.0,0.0,942.0,0.0,748.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0
BKL,574.0,687.0,0.0,914.0,0.0,0.0,0.0,894.0,0.0,0.0,0.0,291.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,488.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,768.0,970.0,0.0,0.0,0.0,578.0,912.0,0.0,466.0,767.0,0.0,0.0,865.0,0.0,0.0,0.0,728.0
TUL,0.0,0.0,0.0,0.0,0.0,0.0,949.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WGP,0.0,0.0,868.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,943.0,0.0,565.0,471.0,0.0,976.0,0.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,178.0,0.0,741.0,797.0,136.0,0.0
TJP,836.0,939.0,0.0,708.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,436.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,296.0,0.0,0.0,0.0,0.0,0.0,940.0,0.0,805.0,962.0,0.0,578.0,0.0,0.0,0.0,504.0,0.0,386.0,761.0,0.0,0.0,646.0,0.0,0.0,0.0,637.0
SKW,826.0,883.0,1000.0,0.0,0.0,0.0,0.0,106.0,922.0,0.0,0.0,639.0,975.0,781.0,905.0,0.0,0.0,0.0,0.0,0.0,980.0,890.0,839.0,660.0,0.0,0.0,0.0,992.0,0.0,0.0,0.0,843.0,848.0,942.0,912.0,0.0,0.0,504.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAU,0.0,0.0,0.0,0.0,354.0,811.0,0.0,0.0,820.0,650.0,535.0,0.0,0.0,921.0,794.0,890.0,796.0,875.0,593.0,670.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,384.0,0.0,452.0,0.0
PGK,461.0,558.0,931.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,179.0,647.0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,719.0,596.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,577.0,748.0,466.0,0.0,0.0,386.0,465.0,0.0,0.0,0.0,0.0,0.0,983.0,0.0,989.0,0.0,922.0
GNS,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,741.0,0.0,0.0,0.0,0.0,0.0,437.0,537.0,0.0,0.0,0.0,767.0,0.0,0.0,761.0,0.0,0.0,0.0,0.0,571.0,0.0,284.0,0.0,0.0,0.0,139.0
SBG,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,512.0,0.0,0.0,0.0,600.0
END,0.0,0.0,997.0,0.0,479.0,0.0,0.0,0.0,0.0,924.0,260.0,0.0,0.0,994.0,998.0,709.0,610.0,0.0,906.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,670.0,921.0,199.0,0.0
TBT,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,739.0,0.0,0.0,0.0,0.0,0.0,305.0,492.0,0.0,0.0,0.0,865.0,0.0,0.0,646.0,0.0,0.0,983.0,284.0,512.0,0.0,0.0,0.0,0.0,0.0,182.0
PLO,0.0,0.0,951.0,0.0,254.0,717.0,0.0,0.0,437.0,890.0,883.0,0.0,0.0,623.0,420.0,836.0,768.0,904.0,237.0,506.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,761.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,0.0,0.0,384.0,0.0,0.0,0.0,670.0,0.0,0.0,876.0,613.0,0.0
PMK,740.0,647.0,80.0,0.0,696.0,0.0,0.0,921.0,845.0,0.0,0.0,0.0,0.0,444.0,753.0,254.0,331.0,0.0,994.0,0.0,350.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.0,545.0,361.0,0.0,0.0,797.0,0.0,0.0,0.0,989.0,0.0,0.0,921.0,0.0,876.0,0.0,722.0,0.0
LBJ,0.0,0.0,798.0,0.0,376.0,0.0,0.0,0.0,939.0,0.0,449.0,0.0,0.0,821.0,872.0,514.0,415.0,0.0,846.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,452.0,0.0,0.0,0.0,199.0,0.0,613.0,722.0,0.0,0.0
SBL,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,654.0,0.0,0.0,0.0,0.0,0.0,424.0,571.0,0.0,0.0,0.0,728.0,0.0,0.0,637.0,0.0,0.0,922.0,139.0,600.0,0.0,182.0,0.0,0.0,0.0,0.0
